User Term,User's Definition,Related/Synonyms,Related Schema,Logic/Filters (The SQL Rule)
Pre general_health_past_1_week_cat,Pre-FTP general health past week category,general health,pre_ftp_raw.general_health_past_1_week_cat,a.general_health_past_1_week_cat
Pre sequencing presence,Require pre sample to have sequencing,has sequence,sequence_shotgun.sequence_number,b.sequence_number IS NOT NULL
Pre dedupe rule,Keep 1 pre row per fmt_prep_id,row_number,pre_ftp_raw.fmt_prep_id; sequence_shotgun.sequence_number,ROW_NUMBER() OVER (PARTITION BY a.fmt_prep_id ORDER BY b.sequence_number) = 1
Post join key (kit_id),Join post_ftp_raw to shotgun table using case-insensitive kit_id,kit join,post_ftp_raw.kit_id; sequence_shotgun.kit_id,UPPER(a.kit_id) = UPPER(b.kit_id)
Post fmt_prep_id,Post-FTP preparation identifier,fmt_prep_id,post_ftp_raw.fmt_prep_id,a.fmt_prep_id
Post kit_id,Post-FTP kit identifier,kit_id,post_ftp_raw.kit_id,a.kit_id
Post sequence_number,Post-FTP shotgun sequence number,sequence_number,sequence_shotgun.sequence_number,b.sequence_number
Post gender_cd,Post-FTP gender code,"sex, gender_cd",post_ftp_raw.gender_cd,a.gender_cd
Post health_current_state_score,Post-FTP current health score,health score,post_ftp_raw.health_current_state_score,a.health_current_state_score
Post liquid_stool_no,Post-FTP liquid stool count,stool,post_ftp_raw.liquid_stool_no,a.liquid_stool_no
Post bowel_movement_no,Post-FTP bowel movement count,bm count,post_ftp_raw.bowel_movement_no,a.bowel_movement_no
Post medical_history_fmt_cat,Post-FTP medical history category,med history,post_ftp_raw.medical_history_fmt_cat,a.medical_history_fmt_cat
Post medical_history_fmt_oth_txt,Post-FTP medical history other text,med history text,post_ftp_raw.medical_history_fmt_oth_txt,a.medical_history_fmt_oth_txt
Post abdominal_pain_cat,Post-FTP abdominal pain category,pain,post_ftp_raw.abdominal_pain_cat,a.abdominal_pain_cat
Post abdominal_bloating_intensity_cat,Post-FTP bloating intensity category,bloating,post_ftp_raw.abdominal_bloating_intensity_cat,a.abdominal_bloating_intensity_cat
Post general_health_past_1_week_cat,Post-FTP general health past week category,general health,post_ftp_raw.general_health_past_1_week_cat,a.general_health_past_1_week_cat
Post sequencing presence,Require post sample to have sequencing,has sequence,sequence_shotgun.sequence_number,b.sequence_number IS NOT NULL
Post dedupe rule,Keep 1 post row per fmt_prep_id,row_number,post_ftp_raw.fmt_prep_id; sequence_shotgun.sequence_number,ROW_NUMBER() OVER (PARTITION BY a.fmt_prep_id ORDER BY b.sequence_number) = 1
Pre/Post pairing rule,Require pre and post to be same fmt_prep_id,matched pair,pre_ftp_raw.fmt_prep_id; post_ftp_raw.fmt_prep_id,post.fmt_prep_id = pre.fmt_prep_id
Donor/FTP linking transform,Link pre/post fmt_prep_id to donor fmt_prep by trimming last 2 chars,string transform,pre_ftp_raw.fmt_prep_id; fmt_sequence_mapping.fmt_prep,"LEFT(TRIM(pre.fmt_prep_id), LENGTH(TRIM(pre.fmt_prep_id)) - 2) = d.fmt_prep"
Output status (DONOR),Derived row label for donor output,status,(derived),DONOR'
Output status (PRE_FTP),Derived row label for pre output,status,(derived),PRE_FTP'
Output status (POST_FTP),Derived row label for post output,status,(derived),POST_FTP'
Output null numeric fields (donor),Ensure numeric fields align across UNION,null cast numeric,(derived),NULL::numeric
Output null text fields (donor),Ensure text fields align across UNION,null cast text,(derived),NULL::text
